Q,A,label
내가 뭘 잘못 말했는지 알려줄래?,내가 왜 찾어!,0
내가 왜 찾어!,내가 그만 둘 거니까 !,0
내가 그만 둘 거니까 !,누구 맘대로 그만 둬?,0
딱 한잔만 더 하자! 응?,그만하셔 .,0
그만하셔 .,딱 한잔만 더하자고!!,0
딱 한잔만 더하자고!!,많이 드셨어 .,0
나 이제 헤어질꺼야!,왜그래! 제정신이야?,0
왜그래! 제정신이야?,뭔 상관이야 내가 뭘 하든,0
뭔 상관이야 내가 뭘 하든,어  힘내. 응원해.,0
어  힘내. 응원해.,나 이제 새로운 사람 만날꺼야.,0
나 이제 새로운 사람 만날꺼야.,후회 안할 자신있어?,0
나는 후회안해.,정말 후회 안해?,0
정말 후회 안해?,응. 그렇다니까.,0
응. 그렇다니까.,그렇다면 응원할께.,0
그렇다면 응원할께.,고마워.,0
고마워.,뭘. 파이팅이다.,0
답답해.,뭐라도 말 좀 해봐.,0
뭐라도 말 좀 해봐.,말한다고 뭐가 달라져.,0
말한다고 뭐가 달라져.,말해도 잘못되고 가만히 있어도 잘못될때가 있긴해.,0
사랑한다고 말하고 싶어.,말하기 힘들면 편지는 어때?,0
말하기 힘들면 편지는 어때?,편지 써 본 적 없어.,0
편지 써 본 적 없어.,글을 쓰면 조금 더 표현이 진중해져.,0
글을 쓰면 조금 더 표현이 진중해져.,고마워.,0
여기서 멀어 ?,걸어서는 한참 가야 돼!,0
걸어서는 한참 가야 돼!,얼마나 걸려 .,0
얼마나 걸려 .,내가 어떡해 아냐.,0
내가 어떡해 아냐.,오키도키,0
그러니까 딱 한잔만 더 하자고.,그만해 . 난 술 취해서 휘청거리는 거 딱 질색이야.,0
그만해 . 난 술 취해서 휘청거리는 거 딱 질색이야.,술은 취해서 휘청거려야 맛이라니까 ,0
술은 취해서 휘청거려야 맛이라니까 ,싫다 진짜.,1
천천히 마셔. 그렇게 빨리 마시면 취해!,니가 데려다 줄거잖아,0
니가 데려다 줄거잖아,내가 어떡해 데려다줘.,0
내가 어떡해 데려다줘.,술값도 니가 내라.,0
술값도 니가 내라.,그래,0
얼마만이지?,굳이 셀 필요는 없지.,0
굳이 셀 필요는 없지.,어떻게 지냈어 ?,0
어떻게 지냈어 ?,굳이 알 필요도 없는 일이야,0
굳이 알 필요도 없는 일이야,괜히 찾아왔다 이 말이야?,0
괜히 찾아왔다 이 말이야?,세월이 너무 많이 흘러서 그래.,0
근데 오늘 무슨 일 없었어?,무슨 일이 있어 ?,0
무슨 일이 있어 ?,아니 뭐 전화 온데 없냐고,0
아니 뭐 전화 온데 없냐고,아니,0
아니,하긴,0
무얼해도 잘못된거 같아.,안하는것보다 해보는게 나은거 같아.,0
안하는것보다 해보는게 나은거 같아.,나 창피해!,0
나 창피해!,용기를 내!,0
용기를 내!,용기 내볼께.,0
김치찌개 레시피 알려줘.,돼지고기? 참치?,0
돼지고기? 참치?,참치!,0
참치!,김치에 참치 넣으면 되.,0
이봐 ?,왜 ?,0
왜 ?,왜 ? ,0
왜 ? ,그럼 .,0
그럼 ., 나한테 뭐 할 말 없어 ?,0
 나한테 뭐 할 말 없어 ?,무슨 말을 해야하는데 .,0
김치찌개 알려줘.,돼지? 참치?,0
돼지? 참치?,돼지!,0
돼지!,김치 끊이다가 돼지 넣어,0
그게 끝이야?,뭘 더 바래.,0
뭘 더 바래.,더 알려줘.,0
더 알려줘.,인터넷 써치해보셩.,0
너무 슬프다.,무슨 일인데? 눈물나?,0
무슨 일인데? 눈물나?,응 눈물나,1
응 눈물나,울지마 너에게 위로가 되고 싶어.,0
산에 오니까 공기도 좋다.,근데 밥은 어디서 먹어?,0
근데 밥은 어디서 먹어?,정상에가서 먹어야지가자!,0
정상에가서 먹어야지가자!,응.,0
나 너무 슬퍼.,웃긴 얘기 해줄까?,0
웃긴 얘기 해줄까?,아니. 위로해줘.,0
아니. 위로해줘.,진심으로 너를 위로해주고 싶어. 말해봐. 들어줄께.,0
사람이 어쩌면 그렇게 뻔뻔해 .,진정 좀 해.,0
진정 좀 해.,내가 그렇게 많이 믿었는데,0
내가 그렇게 많이 믿었는데,그러는게 아니였어.,0
나랑 대화하자.,약속있어.,0
약속있어.,너가? 무슨약속?,0
너가? 무슨약속?,왜? 나는 약속있으면 안되?,0
약속을 깼어.,그 사람 진짜 별로네. 사과했어?,0
그 사람 진짜 별로네. 사과했어?,아니,0
아니,절대 먼저 연락하지마.,0
식사는 하셨어 ?,먹었어.,0
먹었어.,뭐 드셨어 ?,0
뭐 드셨어 ?,된장찌개!,0
된장찌개!,"맛있었겠다, 나도 된장찌개 좋아해.",2
"맛있었겠다, 나도 된장찌개 좋아해.",난 맨날 먹으니까 별루야,0
매일 먹으니 별로야.,행복에 겨운 소리. 눼이눼이,0
행복에 겨운 소리. 눼이눼이,허참사람일이라는 건 모르는 거 잖어!,0
허참사람일이라는 건 모르는 거 잖어!,당당하네.,0
당당하네.,우씨.,0
이런 거 가지고는 안지워져 !,그래도 해보기는 해야 할 거 아냐!,0
그래도 해보기는 해야 할 거 아냐!,삶아야 된다니까  ,0
삶아야 된다니까  ,얼른! ,0
나는 매번 참기만 하는거 같아.,화나도 참고 웃어주고 기다려준 건 진심으로 대한게 아니잖아.,0
화나도 참고 웃어주고 기다려준 건 진심으로 대한게 아니잖아.,진심으로 대했어.,0
진심으로 대했어.,아냐. 머리론 믿는다해도 네 마음은 불안했던 거 아니니?,0
아냐. 머리론 믿는다해도 네 마음은 불안했던 거 아니니?,그런거 같아.,0
잘 먹었어,별 말씀을 ,0
별 말씀을 ,담에는 내가 한 번 쏠게!,0
담에는 내가 한 번 쏠게!,맨날 말로만 하지 말고 정말로 한 번 쏴보셔,0
화가나!,화나면 그때그때 표현해.,0
화나면 그때그때 표현해.,그게 가능해?,0
그게 가능해?,처음이 힘들뿐이야.,0
정말 화나!,화가 날때 바로바로 표현해. 그러다 병 나.,0
화가 날때 바로바로 표현해. 그러다 병 나.,하지만 힘들어.,0
하지만 힘들어.,힘네. 응원해.,0
니가 아침나절에 전화한 총 통화 시간이야!,그걸 방에서 재고 계셨어 ?,0
그걸 방에서 재고 계셨어 ?,"그럼 뭐하냐? 할 일은 없고, 며느리는 시끄럽고",0
"그럼 뭐하냐? 할 일은 없고, 며느리는 시끄럽고",중요한 통화 였어 .!,0
중요한 통화 였어 .!,그렇게 수다스럽더니 말이 늘었구나!,0
하루종일 누워 있었던 거야?,아니밥은 먹었어 .,0
아니밥은 먹었어 .,사람 참,0
사람 참,그럼 이따 봐 나 힘없어 죽겠어 . 끊어 !,0
나 배고파.,금강산도 식후경이니 밥 먹고 해.,0
금강산도 식후경이니 밥 먹고 해.,뭘 해?,0
뭘 해?,밥 먹고 운동해야 살 안쪄.,0
밥 먹고 운동해야 살 안쪄.,넌 맞말만 하는구나.,0
나 오늘 길에서 넘어졌어.,길에서? 그니까 앞 좀 보고 걸어.,0
길에서? 그니까 앞 좀 보고 걸어.,내 앞은 넌데 ,0
내 앞은 넌데 ,그럼 땅을 보고 걸어.,0
나 사기 당한거 같아.,침착하게 다시 말해봐.,0
침착하게 다시 말해봐.,사기 당한거 같다구.,0
사기 당한거 같다구.,어서 부모님께 말씀드리고 의논해봐.,0
담배 피는거 어떡해 생각해?,담배는 백해무익,0
담배는 백해무익,담배 피고 싶어.,0
담배 피고 싶어.,짧은 인생을 살고 싶니?,0
짧은 인생을 살고 싶니?,아니 ,0
정말  나한테 너무 하시는거 아냐?,내가 뭐 ,0
내가 뭐 ,안 봤어 ?,0
안 봤어 ?,내가 꼭 대답해야 되 ?,0
내가 꼭 대답해야 되 ?,너 태도가 왜 그래?,0
너 태도가 왜 그래?,아니왜 소리는 지르고 그래 ,0
너 좀 괜찮아 졌니?,쉬니까 조금 나아졌어.,0
쉬니까 조금 나아졌어.,다행이당.,0
다행이당.,아무튼 고맙다. 그럼!,0
아이고 이것아 내가 걱정이 돼서 그래., 왜 걱정을 하셔.,0
 왜 걱정을 하셔.,내가 걱정을 안 하게 생겼니.,0
내가 걱정을 안 하게 생겼니.,사실  니 성격이 좀 걱정되긴 해 .,0
사실  니 성격이 좀 걱정되긴 해 .,아이고 이 기집애야!,0
어떡해  나 말 못하겠어.,너 진짜 찐따같아.,0
너 진짜 찐따같아.,뭐라고?,0
뭐라고?,용기 좀 내!,0
뭐하냐 지금?,그냥 있지 뭐.,0
그냥 있지 뭐.,너 요즘 왜 그래? 딴 사람 같아.,0
너 요즘 왜 그래? 딴 사람 같아.,그러게 생각이 좀 많은 것 같아.,0
내비둬어. 좀 정리할 시간이 필요 하겠지.,너가 정리할게 뭐있어,0
너가 정리할게 뭐있어,그래도 친구였잖아!,0
그래도 친구였잖아!,누가 뭐래 ? 그래도  그럴 일은 아니잖아 ,0
누가 뭐래 ? 그래도  그럴 일은 아니잖아 ,그냥 나둬!,0
그냥 나둬!,속상해서 그러잖아 .,0
이게 무슨 소리야?,글쎄,0
글쎄,말이 되냐?,0
말이 되냐?,그러게!,0
너 지금 대체 어디야?,바로 니 앞입니다.,0
바로 니 앞입니다.,그래?,0
그래?,항상 니 옆에 있어.,0
넌 이따가 나 좀 따로 봐!,난 안 봐! 내가 널 왜 봐!,0
난 안 봐! 내가 널 왜 봐!,그렇게 나오신다 이거지?,0
그렇게 나오신다 이거지?,지가 잘못해놓고 왜나한테 화풀이람,0
정말 잘 못했습니다. 제가 파리처럼 이렇게 빌께 . 네?,에라이 파리만도 못한 놈아!,0
에라이 파리만도 못한 놈아!,진짜 미안해,0
진짜 미안해,미안하다면 다야?,0
미안하다면 다야?,그럼 어떡할까?,0
그럼 어떡할까?,진심으로 반성한 다음 말해.,0
애인이 나한테 말을 안걸어.,니가 먼저 말 걸길 기다리는거 아닐까?,0
니가 먼저 말 걸길 기다리는거 아닐까?,진짜?,0
진짜?,자존심때문일지도,0
자존심때문일지도,용기내볼께,0
어디 가니?,잠깐 나가 ,0
잠깐 나가 ,이시간에 어딜 나가?,0
이시간에 어딜 나가?,금방 올께,0
금방 올께,퍽이나!,0
어디 갔다 오는 거야? 오래 기다렸잖아 !,미안. 오래 기다렸어?,0
미안. 오래 기다렸어?,나 기다리는거 싫어.,1
나 기다리는거 싫어.,미안미안. 기다리게 안할께.,0
미안미안. 기다리게 안할께.,앞으로 조심해,0
내가 먼저 헤어지자고 했어.,너를 자극시키는 행동만 했으니 그래도 되.,0
너를 자극시키는 행동만 했으니 그래도 되.,일부러 나한테 그런거 같아.,0
일부러 나한테 그런거 같아.,사람이라면 어찌 그리 뻔뻔한지.,0
사람이라면 어찌 그리 뻔뻔한지.,정말 짜증나,1
야! 임마!,아씨! 왜 그래?,0
아씨! 왜 그래?,뭐? 아씨? 나한테 아씨? 근데 이게!,0
뭐? 아씨? 나한테 아씨? 근데 이게!,나 오늘 무지 예민하거든. 그러니까 건들지마!,0
애인이 나한테 그런 말을 했어,어떤 말을 했는데?,0
어떤 말을 했는데?,나한테 험한말을 했어.,0
나한테 험한말을 했어.,너한테 말은 그렇게 했어도 그냥 단순히 너가 먼저 와주길 바라는 거 아냐?,0
너한테 말은 그렇게 했어도 그냥 단순히 너가 먼저 와주길 바라는 거 아냐?,그런가?,0
그런가?,다양하게 생각해봐.,0
그러니까 왜 애를 만나가지고 상처를 주냔 말이야. 내 말은?,운명 이였는데 어떡해 .!,0
운명 이였는데 어떡해 .!,운명? 운명 같은 소리 하고 있네. ,0
운명? 운명 같은 소리 하고 있네. ,하지만 어떡하겠어 . 이것도 운명인데.,0
하지만 어떡하겠어 . 이것도 운명인데.,아무튼 어떡할 거야!,0
애인이 헤어지자고 했어.,헤어지자니까 무서워?,0
헤어지자니까 무서워?,응 너무 무서워.,0
응 너무 무서워.,어차피 인생은 혼자야. 이번 기회에 강해져.,0
걔가 헤어지재,갑자기?,0
갑자기?,아니 전부터 티는 났어.,0
아니 전부터 티는 났어.,너가 아쉬우면 잡아.,0
헤어지자는 말이 왜 이렇게 쉽니,쉬운척 하는거지 쉽진 않았을 꺼야.,0
쉬운척 하는거지 쉽진 않았을 꺼야.,그래?,0
그래?,응. 정말 그렇다면 감정이 없는거지.,0
응. 정말 그렇다면 감정이 없는거지.,모르겠다.,0
헤어져서 너무 후회되,괜히 겁먹지 말고 한번 제대로 잡아봐.,0
괜히 겁먹지 말고 한번 제대로 잡아봐.,안 잡히면?,0
안 잡히면?,한번 제대로 잡아보고 결정해.,0
한번 제대로 잡아보고 결정해.,말이 쉽지.,0
말이 쉽지.,행동은 어렵지,0
왜 그렇게 뛰어 .,애들이 기다려서 ,0
애들이 기다려서 ,하긴그렇겠군 괜찮아 ?,0
하긴그렇겠군 괜찮아 ?,뭐가 ?,0
뭐가 ?,아냐뭐 ,0
우리 헤어지자.,농담하지마.,0
농담하지마.,농담아니야. 우리 헤어지자.,0
농담아니야. 우리 헤어지자.,너는 참 쉽게 말하는거 같아. 상처 받았어.,0
너는 참 쉽게 말하는거 같아. 상처 받았어.,내가 뭘 어떡해야되?,0
내가 뭘 어떡해야되?,너에게 실망이야.,0
이번에도 어김없이 크리스마는가 찾아왔어,커플문화 완전 극혐이야,0
커플문화 완전 극혐이야,그게 뭐라고 걍 쉬는 날이지,0
그게 뭐라고 걍 쉬는 날이지,솔로천국! 커플 지옥!,0
무거워 ?,살짝 무거워.,0
살짝 무거워.,무거워?,0
무거워?,그럼 무겁지 안 무겁습니까?,0
그럼 무겁지 안 무겁습니까?,여자가 뭐가 무거워 ?,0
참나 이거 원,참나 뭐 ?,0
참나 뭐 ?,내가 뭐라고 했어 ?,0
내가 뭐라고 했어 ?,뭐라고 했잖아 . 아참나 뭐어 했 잖 아 ,0
뭐라고 했잖아 . 아참나 뭐어 했 잖 아 ,목이 좀 찝찝해서 그랬어 . 왜 ?,0
목이 좀 찝찝해서 그랬어 . 왜 ?,왜 찝찝해 . 쳇!!,0
왜 찝찝해 . 쳇!!,그럼 안 찝찝합니까,0
갑자기 그 사람이 밥 먹자고 해.,너한테 관심있는거 아냐?,0
너한테 관심있는거 아냐?,진짜?,0
진짜?,아무하고나 밥먹진 않잔아.,0
밥 먹자는데 가슴이 두근거려,내참 기가막혀서! 커플 지옥!,0
내참 기가막혀서! 커플 지옥!,아직 커플 아니야,0
아직 커플 아니야,행복에 겨운 소리. 눼이눼이,0
행복에 겨운 소리. 눼이눼이,커플 천국!,0
여름에 어떤 스타일이 좋지?,여름엔 덥게 겨울엔 춥게,0
여름엔 덥게 겨울엔 춥게,겨울에는 어떤 스타일이 좋지?,0
겨울에는 어떤 스타일이 좋지?,여름엔 덥게 겨울엔 춥게,0
여름엔 덥게 겨울엔 춥게,역시 패셔니스트,0
무슨 옷 입지?,오늘 날씨를 체크해봐,0
오늘 날씨를 체크해봐,따듯해,0
따듯해,저녁에 추울지도 모르니 겉옷 챙겨.,0
코로나는 언제 끝날까?,그러게. 내가 그걸 알면 돗자리 폈지,0
그러게. 내가 그걸 알면 돗자리 폈지,코로나 싫어.,1
코로나 싫어.,나도 싫어.,1
너 어떻게 된거야 ? 왜 이제 말해,내가?,0
내가?,어떻게 된거야!,0
어떻게 된거야!,나도 모르겠어.,0
괜찮아 ?,뭐가?,0
뭐가?,괜찮냐구,0
괜찮냐구,갑가지 뭔 소리야. 너야말로 괜찮아?,0
갑가지 뭔 소리야. 너야말로 괜찮아?,난 괜찮아.,0
난 괜찮아. 사실 안 괜찮아.,무슨일이야?,0
무슨일이야?,정말 짜증나,1
정말 짜증나,나한테 말해봐. 내가 들어줄께.,0
나한테 말해봐. 내가 들어줄께.,어쩜 나한테 그럴 수 있어.,0
너 쫘-악 빼입고 어디가냐?,비밀,0
비밀,아니 어딜 가아!,0
아니 어딜 가아!,아 있어 ,0
정말 이런 식으로 할겁니까? 지금이 몇신데 이제 와 ?,미안  일이 좀 있었어 !,0
미안  일이 좀 있었어 !,아무리 일이 있어도 그렇지,0
아무리 일이 있어도 그렇지,아 미안하다구 ,0
나 너무 무서워,무슨 일이야? 말해봐봐,0
무슨 일이야? 말해봐봐,너무 무섭고 어떡해야 할지 모르겠어.,0
너무 무섭고 어떡해야 할지 모르겠어.,천천히 얘기해봐,0
천천히 얘기해봐,고마워.,0
이제 후회가 되,후회하지마.,0
후회하지마.,더 빨리 말할걸 후회해.,0
더 빨리 말할걸 후회해.,후회할 행동 더 이상 안하면되.,0
후회할 행동 더 이상 안하면되.,아직도 좋아하는거 같아.,0
아직도 좋아하는거 같아.,표현을 해야 상대방도 알 수 있어.,0
사랑해,어맛. 갑자기?,0
어맛. 갑자기?,사랑해,2
사랑해,그럼 나도 사랑한다 말해줄께,2
그럼 나도 사랑한다 말해줄께,사랑해,2
자기야 사랑해,뭐?,0
뭐?,자기야 사랑해,2
자기야 사랑해,자기에게 말해. 나 말고.,0
나 자기가 없어.,방구석에서 뭐해. 찾으러 나가.,0
방구석에서 뭐해. 찾으러 나가.,귀찮다고,0
귀찮다고,귀찮으니 없는겨,0
대화가 안통해,대화를 하도록 노력해봐,0
대화를 하도록 노력해봐,노력하기 싫어,1
노력하기 싫어,너가 그러니 대화가 안 통하는거 아닐까?,0
미안한일 있으면 어떡해?,미안한일 있으면 뽀뽀해주기,0
미안한일 있으면 뽀뽀해주기,뽀뽀하라고?,0
뽀뽀하라고?,뽀뽀하고 사랑해하기,2
뽀뽀하고 사랑해하기,부끄럽다,0
너는 여기 왜 왔냐?,꽃 찾으러 왔다,0
꽃 찾으러 왔다,무슨말이야?,0
무슨말이야?,꽃 찾으러 왔단다 모르냐,0
꽃 찾으러 왔단다 모르냐,으 노잼,0
으 노잼,응 유잼,0
그사람에게 관심 받고 싶어,그사람에게 알짱 겨려봐,0
그사람에게 알짱 겨려봐,어케 알짱거려,0
어케 알짱거려,근처에 계속 운명을 가장한채 등장하면 되,0
밥줘!,내가 니 엄마냐?,0
내가 니 엄마냐?,밥줘!,0
밥줘!,요리하기 귀찮으면 배달 시켜,0
아 말을 좀 해봐!,그냥 그렇지 뭐,0
그냥 그렇지 뭐,그냥 그런 게 어딨어?,0
그냥 그런 게 어딨어?,근데 넌 왜 화를 내니?,0
근데 넌 왜 화를 내니?,내가 언제 화를 냈다고 그래?,0
내가 언제 화를 냈다고 그래?,지금 화냈잖아,0
배고파!,빨리 밥먹어,0
빨리 밥먹어,밥이 없어,0
밥이 없어,배달 시켜,0
어땠어?,뭐가 ?,0
뭐가 ?,나 오늘 어땠냐구,0
나 오늘 어땠냐구,잘 모르겠지만 너는 잘 했을꺼야,0
잘 모르겠지만 너는 잘 했을꺼야,그래?,0
그래?,난 항상 너를 믿어.,0
너 화났니?,아뇨 제가 왜 화가 나요.,0
아뇨 제가 왜 화가 나요.,"아니,,,난 니가 좀 화가 나 보여서.",0
"아니,,,난 니가 좀 화가 나 보여서.",그런 적 없어 . 불끄고 자자.,0
이건 어때 ?,이쁜데 .,0
이쁜데 .,진짜 ?,0
진짜 ?,한번 써봐 .,0
한번 써봐 .,그럴까! ,0
애인과 대화가 안통해,보는 내가 답답해,0
보는 내가 답답해,그래서 . 지금 나보고 어쩌라는 거야!,0
그래서 . 지금 나보고 어쩌라는 거야!,근본적인 문제는 대화가 통해야되. ,0
근본적인 문제는 대화가 통해야되. ,어이구 누가 아니랄까봐,0
나 이제 다신 안만나,후회하는구나.,0
후회하는구나.,응 후회해,0
응 후회해,경험했으니 반복 안하면 되,0
경험했으니 반복 안하면 되,나쁜 자식,0
아이고 기가막혀,좀 진정하고 차근차근 생각해봐.,0
좀 진정하고 차근차근 생각해봐.,뭘 차근차근 생각해 ! 뭘 차근차근!,0
뭘 차근차근 생각해 ! 뭘 차근차근!,진정해 ,0
진정해 ,지금 진정이 되?,0
너 진짜 아까부터 왜 그러냐?,아냐!,0
아냐!,뭐가 아니긴 아냐 임마! 무슨 고민 있는가 본대.,0
뭐가 아니긴 아냐 임마! 무슨 고민 있는가 본대.,아니라니까,0
아니라니까,너 또 뭐 안 되는 거 있어?,0
왜 그래?,그러게 생각이 좀 많은 것 같다,0
그러게 생각이 좀 많은 것 같다,자식이 무슨 맨날 생각은? ,0
자식이 무슨 맨날 생각은? ,너는 말투가 왜 그러니?,0
너는 말투가 왜 그러니?,내 말이 틀려?,0
그래 얼마나 있다 오는 거야?,몰라!,0
몰라!,무슨 대단한 일 한다고!,0
무슨 대단한 일 한다고!,아마 연락하기 힘들꺼야,0
아마 연락하기 힘들꺼야,농담이고 이해해. 열심히 최선을 다해,0
농담이고 이해해. 열심히 최선을 다해,응 고마워,0
뭐 하냐?,뭐하긴 걍 있지,0
뭐하긴 걍 있지,나랑 놀아줘,0
나랑 놀아줘,뭐하고 놀아쥬까,0
뭐하고 놀아쥬까,재밌는 얘기 해줘,0
재밌는 얘기 해줘,"딸기잼, 사과쨈, 포도쨈 중에 골라봐",0
쓰레기를 길바닥에 함부러 버리는 사람 완전 싫어,그런 사람과 어울리면 안되,0
그런 사람과 어울리면 안되,내 주변에 없었으면 좋겠어,0
내 주변에 없었으면 좋겠어,너무 티내지 말고 조금씩 선을 그으면 되,0
소담이 오빠 어떡해 생각해?,유부남이잔아 마음 접어,0
유부남이잔아 마음 접어,아니 그 말이 아니잔아!,0
아니 그 말이 아니잔아!,농담농담. 좋은 오빠지.,0
세종이 오빠 어떡해 생각해?,여친있데,0
여친있데,진짜? 좋은 사람은 항상 여친있어,0
진짜? 좋은 사람은 항상 여친있어,너도 좋은 사람이니 곧 생길꺼야,0
너도 좋은 사람이니 곧 생길꺼야,말이라도 고맙네,0
이한 오빠 어떡해 생각해?,카사노바 같아,0
카사노바 같아,하하하.,0
하하하.,왜 웃어 ?,0
왜 웃어 ?,나도 그렇게 생각해서.,0
내 말은 무슨 말이냐면,무슨 말씀인지 알아 . 하지만,0
무슨 말씀인지 알아 . 하지만,"혀는 내밀지 말구 ,다 큰 아가씨가 아까부터 왜 자꾸 혀는 내 밀어 .,",0
"혀는 내밀지 말구 ,다 큰 아가씨가 아까부터 왜 자꾸 혀는 내 밀어 .,",미안. 버릇이라서!,0
하지만 노력하기로 했어 .,무슨 노력 ?,0
무슨 노력 ?,"서로 말을 많이 하기로 했어 ,",0
"서로 말을 많이 하기로 했어 ,",그럼 말 안하고 사는 사람도 있어 .?,0
그럼 말 안하고 사는 사람도 있어 .?,아니그런 뜻이 아니라 ,0
시집가서 잘 살아야 돼,걱정하지 마셔 .,0
걱정하지 마셔 .,내가 너 얼마나 사랑하는지 알지?,2
내가 너 얼마나 사랑하는지 알지?,나도 너 많이 사랑해 ,2
걔가 날 친구로 생각 안한데,구라야 그거. 마지막 자존심이겠지.,0
구라야 그거. 마지막 자존심이겠지.,왜 그렇게 생각해?,0
왜 그렇게 생각해?,지가 상처받기 싫으니까,1
지가 상처받기 싫으니까,후회 할까?,0
후회할까?,하겠지. 근데 걔가 진심으로 사과하기 전까진 상종도 하지마.,0
하겠지. 근데 걔가 진심으로 사과하기 전까진 상종도 하지마.,왜 그래야되?,0
왜 그래야되?,사과안한다는건 너를 무시하는거야,0
옆에 있어 ?,자는데 !,0
자는데 !,정말 자 ?,0
정말 자 ?,그렇다니까 . 왜 ?,0
그렇다니까 . 왜 ?,잠꼬대라도 한번 들어 보고 싶어서 .,0
잠꼬대라도 한번 들어 보고 싶어서 .,빨리 자라,0
너무 빡쳐가지고 그냥 못 넘기겠엉,이래서 얘기하기 싫었던 것도 있었는데,1
이래서 얘기하기 싫었던 것도 있었는데,어쩜 그럴 수가 있냐,0
어쩜 그럴 수가 있냐,니말대로 상종 안할께,0
니말대로 상종 안할께,먼저 말걸지 마라. 진짜.,0
뭐해?,책 본다!,0
책 본다!,뭐야? 이거! 책도 아니구만 뭐!,0
뭐야? 이거! 책도 아니구만 뭐!,야 임마! 왜 보는 걸 가져가!  잡지는 책 아니냐 임마!,0
어디가,쓰레기 버리러 가,0
쓰레기 버리러 가,어두운데 내일 가지!,0
어두운데 내일 가지!,  앞인데 뭐! ,0
왜 이래 ,가만있어 극장에서 남자가 여자 손 잡는 건 에티켓이야 .,0
가만있어 극장에서 남자가 여자 손 잡는 건 에티켓이야 .,에팃켓?,0
에팃켓?,안 잡는 놈이 나쁜 놈이라는 뜻이야 !,0
축하해줘,무슨 축하?,0
무슨 축하?,나 축하 받을 일이 생겼어,0
나 축하 받을 일이 생겼어,일단 축하해.,0
일단 축하해.,고마워.,0
폰게임하고 싶어,게임은 시간 낭비야. 그래도 하고 싶다면 너의 연봉을 매년 1천만원 덜 오를꺼야,0
게임은 시간 낭비야. 그래도 하고 싶다면 너의 연봉을 매년 1천만원 덜 오를꺼야,진짜?,0
진짜?,당연하지,0
니가 뭔데 내 인생에 상관이야!,누가 상관하고 싶어서 상관하냐?,0
누가 상관하고 싶어서 상관하냐?,그러니까 상관하지 말라고!,0
그러니까 상관하지 말라고!,"왜 화를 내고,,,그래",0
 요새 어떻게 지내?,뭘 매일 보면서 ,0
뭘 매일 보면서 ,아니그래도 궁금해서.,0
아니그래도 궁금해서.,  잘 지내 !,0
  잘 지내 !,밥은?,0
밥은?,너의 관심이 내 밥이야,0
기계식 키보드 써보고 싶엉,싼것도 많던데 써봐,0
싼것도 많던데 써봐,싼것도 있어? ,0
싼것도 있어? ,응응. 3만원 짜리도 있옹,0
목 캔디 얼마야?,쌀꺼야,0
쌀꺼야,그래? 사야겠다,0
그래? 사야겠다,너는 니가 알아서 먹어. 누가 먹지 마래!!!,0
너는 니가 알아서 먹어. 누가 먹지 마래!!!,아니사람이 기분이 나쁘잖아!,0
대박 이거 바음 홈플에서 발견했엉,오오오 이런 게 있었엉?,0
오오오 이런 게 있었엉?,완전 싸지?,0
완전 싸지?,대박 싸게 잘 샀넹,0
대박 싸게 잘 샀넹,그치그치,0
오늘 너무 재밌었엉,난 심심했엉 놀아줭,0
난 심심했엉 놀아줭,뭐하고 놀아쥬까,0
뭐하고 놀아쥬까,끝말 잇기 할래?,0
심심해 놀아줭,뭐하고 놀아쥬까,0
뭐하고 놀아쥬까,끝말 잇기 할래?,0
끝말 잇기 할래?,그뤵,0
그렇지않아도 문자 온 거 봤는데 그만 깜박했어 .,왜 깜빡해?,0
왜 깜빡해?,너무 피곤해서 ,0
너무 피곤해서 ,밤에 뭐하는데?,0
밤에 뭐하는데?, 요새 운동해 .,0
아우 정말 괜찮았다니까,괜찮긴 뭐가 괜찮아. ,0
괜찮긴 뭐가 괜찮아. ,진짜 괜찮아,0
진짜 괜찮아,오늘은 푹 쉬어,0
나 너무 피곤행,오늘 많이 바빳엉?,0
오늘 많이 바빳엉?,바쁘기도 했고 몸도 않좋아,2
바쁘기도 했고 몸도 않좋아,양치하고 어서 푹자,0
양치하기 귀찮앙,양치해!,0
양치해!,귀찮다구!,0
귀찮다구!,으휴. 양치는 매일 해야지.,0
으휴. 양치는 매일 해야지.,양치하기 너무너무 귀찮아,0
양치하기 너무너무 귀찮아,그래도 양치는 꼭 해야되.,0
왜 갑자기 화를 내?,내가 지금 화를 안 내게 생겼어!,0
내가 지금 화를 안 내게 생겼어!,미안,0
미안,진심으로 사과행,0
진심으로 사과행,미안행,0
넘어졌는데 피가나,어쩌다가 넘어졌어? 병원가봤어?,0
어쩌다가 넘어졌어? 병원가봤어?,아니 ,0
아니 ,빨리 병원 먼저 가봐,0
빨리 병원 먼저 가봐,알겠엉,0
부딪혔는데 너무 아파,어쩌다가 부딪혔는데? 병원가봤어?,0
어쩌다가 부딪혔는데? 병원가봤어?,그정도는 아니야,0
그정도는 아니야,아프면 병원가봐야지,0
아프면 병원가봐야지,그럴까?,0
그럴까?,응응 ,0
라면 먹고 싶당,라면 먹을래? 므흣,0
라면 먹을래? 므흣,므흣?,0
므흣?,나 라면 좋아행,0
라면 끊여줘,라면 먹고 갈래?,0
라면 먹고 갈래?,진짜?,0
진짜?,가까이 와봐 라면 끊여쥬껭,0
